Model,Mean Recall,Mean F1,Mean AUC,Mean Accuracy,Worst Recall
deep_lat32_relu_mse.keras,0.11403313781852416,0.1756427588324002,0.6044319064997169,0.681416870062891,0.0017726541680851812
monday_trained_w_dropout_tanh.keras,0.1092417554866135,0.16492762927552412,0.5873632967374943,0.67174694937004,0.014468849418311166
monday_trained_wo_dropout_tanh.keras,0.0978237619952533,0.1513567239724587,0.6039716850396211,0.6758779945056844,0.001514386673397274
deep_lat16_relu_mae.keras,0.09365788661764471,0.15585888182279498,0.6010088528973085,0.6727256952757997,0.004509888788968153
deep_lat32_relu_mae_lr5e4.keras,0.06772154023532664,0.114122400510089,0.5750303115694585,0.6422257876893639,0.026073277531901907
sparse_lat16_l1.keras,0.06242577870735309,0.10426089934426118,0.5176657793653672,0.6576472912832838,0.003759595346060803
medium_lat16_relu_mae.keras,0.05555325380398727,0.09781426549359762,0.5961217024179193,0.644372770480098,0.013324254839580668
denoising_lat32.keras,0.055172583864195116,0.09696539327798627,0.5955849192231686,0.6446566834271665,0.012760762123897961
medium_lat16_tanh.keras,0.04696965495458176,0.0804285590194235,0.5410545366406935,0.6160358505213971,0.02111237943637487
shallow_lat8_mae.keras,0.04684822874369309,0.08275561353519076,0.5544784295155974,0.6525243571218464,0.0057842613634380225
kaggle_autoencoder.keras,0.0017968620945153324,0.003565413918803464,0.527068458526905,0.6386422180561135,0.0
